Table S24. The comparison of stability of feature selection by different methods. The metrics are: the number of selected features averaged by dataset splits, the average fraction of majorly selected features from all features selected in each data split and the mean number of dataset splits in which the majorly selected features were selected. The maximal value of the metric for each drug is marked in bold.																		
Metric	Number of selected features						Majorly selected features fraction						Mean number of splits for majorly selected features					
Method	ABESS	HHS	SCAD	MCP	L1	Elastic net	ABESS	HHS	SCAD	MCP	L1	Elastic net	ABESS	HHS	SCAD	MCP	L1	Elastic net
Amikacin	3	14	369	370	324	78	0,31	0,41	0,44	0,44	0,47	0,88	5,00	4,14	3,91	3,90	3,88	4,34
Capreomycin	2	8	275	280	230	111	0,75	0,74	0,49	0,49	0,53	0,81	4,5	4,00	3,82	3,79	3,79	4,14
Ciprofloxacin	28	3	111	116	117	73	0,06	0,53	0,38	0,39	0,40	0,71	4,00	4,5	3,8	3,75	3,77	4,16
Ethambutol	15	8	101	102	265	101	0,38	0,49	0,61	0,62	0,60	0,87	4,00	3,8	4,38	4,36	4,12	4,53
Ethionamide	4	5	227	26	184	52	0,70	0,29	0,37	0,63	0,40	0,73	3,5	3,5	3,83	4,26	3,79	4,2
Isoniazid	29	4	151	152	218	124	0,18	0,40	0,61	0,61	0,64	0,94	4,33	4,00	4,01	4,03	4,11	4,78
Kanamycin	5	4	342	340	266	123	0,79	0,89	0,43	0,43	0,44	0,82	3,8	4,25	3,81	3,8125	3,88	4,31
Moxifloxacin	4	5	590	544	459	118	0,60	0,78	0,54	0,56	0,53	0,74	4,00	4,2	3,75	3,75	3,7875	4,18
Ofloxacin	5	23	579	588	613	134	0,41	0,38	0,55	0,55	0,53	0,71	3,67	3,75	3,77	3,78	3,78	4,21
Prothionamide	2	3	1103	1102	1088	219	0,25	0,44	0,19	0,19	0,23	0,50	3,00	3,5	3,83	3,82	3,80	3,92
Pyrazinamide	12	124	236	238	59	196	0,64	0,61	0,58	0,57	0,67	0,81	4,11	3,73	3,99	3,99	4,42	4,48
Rifampicin	8	98	105	105	149	143	0,76	0,46	0,63	0,63	0,63	0,94	4,43	3,77	4,06	4,06	4,23	4,70
Streptomycin	35	22	53	54	58	104	0,14	0,50	0,70	0,70	0,78	0,85	5,00	3,86	4,27	4,30	4,26	4,47
